,Date,Open
0,2000-01-04,
1,2000-01-05,-0.02108958
2,2000-01-06,0.007007102
3,2000-01-07,-0.066020985
4,2000-01-10,0.031627862
5,2000-01-11,0.012678684
6,2000-01-12,-0.035067566
7,2000-01-13,-0.003052716
8,2000-01-14,0.003929205
9,2000-01-17,0.004007287
10,2000-01-18,0.0303249
11,2000-01-19,-0.02345108
12,2000-01-20,-0.044501474
13,2000-01-21,0.001541215
14,2000-01-24,-0.011503089
15,2000-01-25,-0.009644034
16,2000-01-26,-0.014157258
17,2000-01-27,-0.009044062
18,2000-01-28,0.03807172
19,2000-01-31,0.002262461
20,2000-02-01,0.032562014
21,2000-02-02,-0.02732077
22,2000-02-03,0.021884442
23,2000-02-04,0.024702108
24,2000-02-07,-0.009811842
25,2000-02-08,-0.001210042
26,2000-02-09,0.024279613
27,2000-02-10,-0.059475141
28,2000-02-11,-0.017353367
29,2000-02-14,-0.039895815
30,2000-02-15,-0.013345932
31,2000-02-16,0.035437587
32,2000-02-17,-0.040904845
33,2000-02-18,-0.023995721
34,2000-02-21,0.025763776
35,2000-02-22,0.009640057
36,2000-02-23,-0.021346168
37,2000-02-24,-0.006680693
38,2000-02-25,-0.008325149
39,2000-02-28,0.050760611
40,2000-02-29,-0.002476107
41,2000-03-01,-0.000606191
42,2000-03-02,-0.012291209
43,2000-03-03,0.029452739
44,2000-03-06,-0.022356877
45,2000-03-07,-0.012759632
46,2000-03-08,-0.055065472
47,2000-03-09,-0.006890921
48,2000-03-10,0.012520618
49,2000-03-13,0.019226599
50,2000-03-14,-0.001945517
51,2000-03-15,-0.013737481
52,2000-03-16,0.022048944
53,2000-03-17,0.021618233
54,2000-03-20,-0.013546347
55,2000-03-21,0.018304989
56,2000-03-22,-0.007439736
57,2000-03-23,0.000203014
58,2000-03-24,0.021091264
59,2000-03-27,-0.037774312
60,2000-03-28,-0.006061798
61,2000-03-29,-0.037031488
62,2000-03-30,-0.019346238
63,2000-03-31,0.06019385
64,2000-04-03,0.00339447
65,2000-04-04,-0.027542969
66,2000-04-05,-0.057925597
67,2000-04-06,-0.03312635
68,2000-04-07,0.038759502
69,2000-04-10,-0.020049302
70,2000-04-11,0.01683795
71,2000-04-12,0.002924538
72,2000-04-13,-0.037849631
73,2000-04-14,0.017887715
74,2000-04-17,-0.072524553
75,2000-04-18,-0.001760447
76,2000-04-19,0.026046261
77,2000-04-20,0.002805368
78,2000-04-21,0.011603349
79,2000-04-24,-0.013964085
80,2000-04-25,-0.034123038
81,2000-04-26,-0.011061956
82,2000-04-27,0.031616737
83,2000-04-28,-0.064350759
84,2000-05-01,0.009183644
85,2000-05-02,0.004790975
86,2000-05-03,-0.059776798
87,2000-05-04,-0.007176718
88,2000-05-05,0.040242606
89,2000-05-08,-0.008866683
90,2000-05-09,-0.095889534
91,2000-05-10,0.063676456
92,2000-05-11,0.057239768
93,2000-05-12,0.0312971
94,2000-05-15,0.038493894
95,2000-05-16,0.025051723
96,2000-05-17,0.03366519
97,2000-05-18,-0.031100239
98,2000-05-19,0.061520926
99,2000-05-22,-0.021232932
100,2000-05-23,-0.023227922
101,2000-05-24,0.000699966
102,2000-05-25,-0.069956069
103,2000-05-26,-0.014734587
104,2000-05-29,0.032222065
105,2000-05-30,0.026414587
106,2000-05-31,0.001775024
107,2000-06-01,-0.029225086
108,2000-06-02,0.012995095
109,2000-06-05,0.021873841
110,2000-06-06,0.013490701
111,2000-06-07,0.022148181
112,2000-06-08,-0.016500536
113,2000-06-09,0.011952367
114,2000-06-12,0.018462648
115,2000-06-13,-0.026288729
116,2000-06-14,0.00531331
117,2000-06-15,0.022521459
118,2000-06-16,0.007222784
119,2000-06-19,0.010060137
120,2000-06-20,-0.017698903
121,2000-06-21,-0.000832555
122,2000-06-22,0.008471321
123,2000-06-23,-0.019091446
124,2000-06-26,-0.025777216
125,2000-06-27,-0.000305293
126,2000-06-28,-0.025174901
127,2000-06-29,-0.048040892
128,2000-06-30,0.016240016
129,2000-07-03,-0.015870442
130,2000-07-04,-0.033676981
131,2000-07-05,-0.029020455
132,2000-07-06,0.033947706
133,2000-07-07,0.018516361
134,2000-07-10,0.015324633
135,2000-07-11,-0.023905267
136,2000-07-12,-0.033519861
137,2000-07-13,-0.025232816
138,2000-07-14,0.001477716
139,2000-07-17,0.047705351
140,2000-07-18,0.001561457
141,2000-07-19,0.041479625
142,2000-07-20,0.003546433
143,2000-07-21,-0.004989858
144,2000-07-24,-0.036268082
145,2000-07-25,0.00265933
146,2000-07-26,0.022025783
147,2000-07-27,-0.022468528
148,2000-07-28,-0.005189037
149,2000-07-31,0.013814664
150,2000-08-01,0.006618329
151,2000-08-02,-0.009710031
152,2000-08-03,-0.018361162
153,2000-08-04,-0.032017746
154,2000-08-07,2.90E-05
155,2000-08-08,-0.019303761
156,2000-08-09,-0.000280386
157,2000-08-10,-0.021572565
158,2000-08-11,-0.00700696
159,2000-08-14,0.008445412
160,2000-08-15,-0.081271201
161,2000-08-16,-0.046770999
162,2000-08-17,0.050716089
163,2000-08-18,0.01534472
164,2000-08-21,-0.049680354
165,2000-08-22,-0.020175755
166,2000-08-23,0.024849111
167,2000-08-24,0.016536397
168,2000-08-25,0.033577531
169,2000-08-28,0.009042425
170,2000-08-29,-0.027208382
171,2000-08-30,0.046335302
172,2000-08-31,-0.007023486
